gate_id,requirement_id,requirement,evidence_artifact,artifact_exists,current_evidence_status,closure_allowed
FM-001,FM001-AUTHOR-REPLY,"Filled author/admin replies for title page, author order, affiliations, contributions, interests, funding, acknowledgements, ethics and reviewer/policy choices.",reports/natcomms_author_reply_ingestion_validator_20260810/gate_closure_from_author_replies.csv,yes,missing_author_replies,no
FM-001,FM001-ADMIN-FINAL,Final title page and declaration wording generated from confirmed author replies.,not_created/final_title_page_and_declarations,no,not_created,no
FM-002,FM002-BRANCH-REPLY,Author confirms Track B route or supplies a real blind external validation holder for Track A.,reports/natcomms_author_reply_ingestion_validator_20260810/gate_closure_from_author_replies.csv,yes,missing_author_reply,no
FM-002,FM002-TRACKA-EVIDENCE,"If Track A is used, strict blind-intake manifest and one locked external evaluation must exist.",external_blind/no_real_filled_blind_asset_available,no,not_available,no
FM-003,FM003-BACKEND-CHOICE,Single figure rendering backend is explicitly selected.,reports/natcomms_author_reply_ingestion_validator_20260810/gate_closure_from_author_replies.csv,yes,missing_backend_reply,no
FM-003,FM003-FIGURE-EXPORTS,Final Figure 1-Figure 6 or reduced display set rendered with visual QA and final captions.,reports/figure_rendering_preflight_20260810/figure_rendering_preflight_summary.json,yes,preflight_only_rendered_figures_0,no
FM-004,FM004-RIGHTS-LICENCE,Author/institution confirms code and derived-data licences plus third-party rights route.,reports/natcomms_author_reply_ingestion_validator_20260810/gate_closure_from_author_replies.csv,yes,missing_licence_reply,no
FM-004,FM004-DOI-RELEASE,"Repository DOI/accession and code DOI/archive exist, with Source Data manifest ready for publication.",reports/repository_release_manifest_lock_20260810/repository_release_manifest_lock_summary.json,yes,predeposit_only_no_doi,no
FM-005,FM005-AUTHOR-CONFIRM,"Author confirms Reporting Summary items, ethics/governance, blinding/randomization and availability answers.",reports/natcomms_author_reply_ingestion_validator_20260810/gate_closure_from_author_replies.csv,yes,missing_reporting_replies,no
FM-005,FM005-FINAL-SUMMARY,"Final Reporting Summary file is generated from locked Methods, figures, validation status, Source Data and availability statements.",reports/reporting_summary_finalization_prelock_20260810/reporting_summary_finalization_prelock_summary.json,yes,prelock_only_not_final,no
FM-006,FM006-REFERENCE-LOCK,All [P#] markers are replaced by final Nature-style numbered references in final prose order.,reports/sentence_citation_support_lock_20260810/sentence_citation_support_lock_summary.json,yes,support_lock_only_candidate_markers_remain,no
FM-006,FM006-SUPPORT-AUDIT,Every final citation supports the sentence-level claim it is attached to.,reports/reference_public_verification_20260810/reference_public_verification_summary.json,yes,metadata_prelock_only,no
FM-007,FM007-FINAL-FILES,"Final manuscript and SI files are generated after author/admin, branch, figures, Source Data, Reporting Summary and references are locked.",reports/natcomms_initial_submission_text_preassembly_20260810/natcomms_text_preassembly_summary.json,yes,text_preassembly_only_not_final,no
FM-007,FM007-SI-FINAL,Final Supplementary Information file is generated with final figure/source-data/references crosswalk.,reports/natcomms_supplementary_info_preassembly_20260810/supplementary_info_preassembly_summary.json,yes,si_preassembly_only_not_final,no
FM-008,FM008-PORTAL-METADATA,"Corresponding author confirms portal entries, author metadata, reviewer/policy choices and final file order.",reports/natcomms_author_reply_ingestion_validator_20260810/gate_closure_from_author_replies.csv,yes,missing_author_replies,no
FM-008,FM008-UPLOAD-PACKAGE,Every portal upload item is marked upload-ready with final files and identifiers.,reports/natcomms_portal_upload_manifest_prelock_20260810/portal_upload_manifest_summary.json,yes,zero_upload_ready_rows,no
