attachment_id,source_file,bundle_file,recipient,purpose,bytes,sha256
ATT-001,reports\natcomms_author_finalization_reply_packet_20260810\author_finalization_reply_form_cn.csv,attachments\reply_forms\author_finalization_reply_form_cn.csv,corresponding_author,Core 12-field author finalization replies.,3048,f7657fe25b61482ebf8e29256bb251256745d0995b766c8f835feaf119254d5d
ATT-002,reports\natcomms_author_finalization_reply_packet_20260810\corresponding_author_metadata_form.csv,attachments\reply_forms\corresponding_author_metadata_form.csv,corresponding_author,Title page and corresponding-author metadata.,860,b90425f4c12ceef63a94878112e666bb8390e4b96ac5793f9bbb29e780efd19f
ATT-003,reports\natcomms_author_finalization_reply_packet_20260810\reviewer_and_policy_reply_sheet.csv,attachments\reply_forms\reviewer_and_policy_reply_sheet.csv,corresponding_author,Suggested/excluded reviewers and editorial policy choices.,526,bcdaa8e4f4a2349221c9a371b616eb2161b9123e52049a84929852f84777d792
ATT-004,reports\natcomms_author_finalization_reply_packet_20260810\track_branch_and_external_validation_reply.csv,attachments\reply_forms\track_branch_and_external_validation_reply.csv,author_advisor,Track B confirmation or real external blind validation route.,668,34ce648ebdf8c04b94f1dd9fc5b458b6bfb83fc6725b06c4462f1281730548c8
ATT-005,reports\natcomms_author_finalization_reply_packet_20260810\figure_backend_decision_ticket.csv,attachments\reply_forms\figure_backend_decision_ticket.csv,author_analysis,Single formal figure backend decision.,696,001db976aa52d1d4acb28eaf9d66252b38e028407830e9393200f59b9f2b6f99
ATT-006,reports\natcomms_author_finalization_reply_packet_20260810\licence_rights_reply_sheet.csv,attachments\reply_forms\licence_rights_reply_sheet.csv,repository_lead,"Licence, rights and repository release route.",548,688dfbc167f8f52aed05604f1e977ed5b0788e32ee99ab91d23333aea210e576
ATT-007,reports\natcomms_author_finalization_reply_packet_20260810\reporting_summary_author_reply_sheet.csv,attachments\reply_forms\reporting_summary_author_reply_sheet.csv,analysis_reference_lead,Reporting Summary author confirmations.,231,6745556f8197a20afe1c8c0326ff0af847d493fc552b1b938f0ce94175aeefe4
ATT-008,reports\natcomms_author_finalization_reply_packet_20260810\coauthor_finalization_email_cn.md,attachments\reply_forms\coauthor_finalization_email_cn.md,corresponding_author,Chinese email body for collecting finalization replies.,1391,649fd31e2c5cbf755569e615d078864b8d262b972fe7956aae8e172f1729b75e
GUIDE-001,reports\author_fill_guide_packet_20260810\AUTHOR_FILL_GUIDE_CN.md,attachments\fill_guides\AUTHOR_FILL_GUIDE_CN.md,all_recipients,Chinese fill guide for all author-facing fields.,1305,d4eba192a559fe571d4aa55a08a3fd2f55e3a3cb77494da7be00f6ffe1387bde
GUIDE-002,reports\author_fill_guide_packet_20260810\author_core_reply_fill_guide.csv,attachments\fill_guides\author_core_reply_fill_guide.csv,corresponding_author,Allowed values and examples for the 12 AFR core fields.,3768,39b2706e5054c31174ceb5db7bfcd9cfc4d4e896203a212222472baa0db596f1
GUIDE-003,reports\author_fill_guide_packet_20260810\backend_and_scope_fill_guide.csv,attachments\fill_guides\backend_and_scope_fill_guide.csv,author_analysis,Allowed backend and figure-scope choices.,559,ae05c557296ba7a4166102333597f674eb913cad68d1bf9ea23a35aaa7dc4f40
GUIDE-004,reports\author_fill_guide_packet_20260810\ancillary_reply_sheet_fill_guide.csv,attachments\fill_guides\ancillary_reply_sheet_fill_guide.csv,all_recipients,How to fill ancillary reply sheets.,4177,46be7e997199a00627c9c13c52de32a2614d24665e2ca07896f20ec6a7e98c11
GUIDE-005,reports\author_fill_guide_packet_20260810\owner_specific_fill_assignments.csv,attachments\fill_guides\owner_specific_fill_assignments.csv,all_recipients,Owner-specific task assignments and validation commands.,3619,eab01895ad4544ecd557c73d011ca38e6ecf085853387e2fe6c0d45096f72c3e
GUIDE-006,reports\author_fill_guide_packet_20260810\prohibited_short_replies.csv,attachments\fill_guides\prohibited_short_replies.csv,all_recipients,Replies that must not be used because they overclaim readiness.,539,43e54f62a11f62327cdd97a525649bb03ce43ffd0cb0b04f5c0dee7d54551c4a
GUIDE-007,reports\author_fill_guide_packet_20260810\send_return_log_fill_guide.csv,attachments\fill_guides\send_return_log_fill_guide.csv,sender,How to fill send and return logs.,542,557622f410f3858220237c947c758d08c97d30b3b1d7554ffeff1bed2c3caf83
LOG-001,reports\natcomms_author_sendout_bundle_v2_20260810\author_response_send_log_template.csv,attachments\lifecycle_logs\author_response_send_log_template.csv,sender,Send log template for the v2 zip; fill only after real manual sendout.,1999,305e9cf192e2cd000c8bdd5baaddb7489042658b02f1df1e9150c14c5eff55af
LOG-002,reports\natcomms_author_response_tracker_20260810\author_response_return_tracker.csv,attachments\lifecycle_logs\author_response_return_tracker.csv,sender,Return tracker; fill only after returned files are received.,1717,1edaa6b46b333749b50f45f342e31bf2eb45f7b6d7cd8da6e7a86c902a7a76b6
LOG-003,reports\natcomms_author_response_log_validator_20260810\AUTHOR_RESPONSE_LOG_VALIDATOR_README.md,attachments\lifecycle_logs\AUTHOR_RESPONSE_LOG_VALIDATOR_README.md,sender,Validation rule summary for send/return lifecycle.,309,8b13f9412e38a1055a2062f3e16c0e22dcbc1e498bac0837995d23e9296818b8
LOG-004,reports\manual_field_preservation_audit_20260810\manual_field_safe_rerun_order.csv,attachments\lifecycle_logs\manual_field_safe_rerun_order.csv,analysis,Safe rerun order after manual fields are filled.,692,1ea7831b053b39072ae434db5b625be50912e8f9eae4a3c38c78b86ee6450590
