layer_id,evidence_layer,model_family,target_field,model,variant,n_rows,test_balanced_accuracy_mean,balanced_accuracy_delta_mean,balanced_accuracy_delta_std,prediction_flip_rate_mean,directional_drop_support,material_drop_support,claim_use,limitation,source_file
4TU-L1,summary_feature_fixed_split,summary_feature_classifiers,Land type,rbf_svm,amplitude_jitter,1,0.3142857142857143,-0.07142857142857145,0.0,0.125,True,True,stress_test_only,Uses hand-engineered trace summary features under a fixed split.,reports\4tu_counterfactual_reliance_20260810\counterfactual_reliance_metrics.csv
4TU-L1,summary_feature_fixed_split,summary_feature_classifiers,Land type,rbf_svm,log_clip,1,0.0,-0.38571428571428573,0.0,0.8333333333333334,True,True,stress_test_only,Uses hand-engineered trace summary features under a fixed split.,reports\4tu_counterfactual_reliance_20260810\counterfactual_reliance_metrics.csv
4TU-L1,summary_feature_fixed_split,summary_feature_classifiers,Land type,rbf_svm,remove_border,1,0.14285714285714285,-0.24285714285714288,0.0,0.4166666666666667,True,True,stress_test_only,Uses hand-engineered trace summary features under a fixed split.,reports\4tu_counterfactual_reliance_20260810\counterfactual_reliance_metrics.csv
4TU-L1,summary_feature_fixed_split,summary_feature_classifiers,Land type,rbf_svm,remove_bottom_band,1,0.40952380952380957,0.023809523809523836,0.0,0.125,False,False,stress_test_only,Uses hand-engineered trace summary features under a fixed split.,reports\4tu_counterfactual_reliance_20260810\counterfactual_reliance_metrics.csv
4TU-L1,summary_feature_fixed_split,summary_feature_classifiers,Land type,rbf_svm,remove_top_band,1,0.3333333333333333,-0.05238095238095242,0.0,0.5833333333333334,True,True,stress_test_only,Uses hand-engineered trace summary features under a fixed split.,reports\4tu_counterfactual_reliance_20260810\counterfactual_reliance_metrics.csv
4TU-L1,summary_feature_fixed_split,summary_feature_classifiers,Land type,rbf_svm,time_reverse,1,0.3333333333333333,-0.05238095238095242,0.0,0.5833333333333334,True,True,stress_test_only,Uses hand-engineered trace summary features under a fixed split.,reports\4tu_counterfactual_reliance_20260810\counterfactual_reliance_metrics.csv
4TU-L1,summary_feature_fixed_split,summary_feature_classifiers,Land type,rbf_svm,zscore_clip,1,0.0,-0.38571428571428573,0.0,0.875,True,True,stress_test_only,Uses hand-engineered trace summary features under a fixed split.,reports\4tu_counterfactual_reliance_20260810\counterfactual_reliance_metrics.csv
4TU-L2,raw_pixel_fixed_split,rawtrace_pixel_classifiers,Land cover,rbf_svm,amplitude_jitter,1,0.3333333333333333,0.0,0.0,0.0,False,False,stress_test_only,Uses rendered raw-trace pixels under a fixed split.,reports\4tu_counterfactual_rawtrace_pixel_20260810\rawtrace_pixel_reliance_metrics.csv
4TU-L2,raw_pixel_fixed_split,rawtrace_pixel_classifiers,Land cover,rbf_svm,log_clip,1,0.3333333333333333,0.0,0.0,1.0,False,False,stress_test_only,Uses rendered raw-trace pixels under a fixed split.,reports\4tu_counterfactual_rawtrace_pixel_20260810\rawtrace_pixel_reliance_metrics.csv
4TU-L2,raw_pixel_fixed_split,rawtrace_pixel_classifiers,Land cover,rbf_svm,remove_border,1,0.393939393939394,0.06060606060606066,0.0,0.125,False,False,stress_test_only,Uses rendered raw-trace pixels under a fixed split.,reports\4tu_counterfactual_rawtrace_pixel_20260810\rawtrace_pixel_reliance_metrics.csv
4TU-L2,raw_pixel_fixed_split,rawtrace_pixel_classifiers,Land cover,rbf_svm,remove_bottom_band,1,0.3333333333333333,0.0,0.0,0.0,False,False,stress_test_only,Uses rendered raw-trace pixels under a fixed split.,reports\4tu_counterfactual_rawtrace_pixel_20260810\rawtrace_pixel_reliance_metrics.csv
4TU-L2,raw_pixel_fixed_split,rawtrace_pixel_classifiers,Land cover,rbf_svm,remove_top_band,1,0.3636363636363636,0.030303030303030276,0.0,0.041666666666666664,False,False,stress_test_only,Uses rendered raw-trace pixels under a fixed split.,reports\4tu_counterfactual_rawtrace_pixel_20260810\rawtrace_pixel_reliance_metrics.csv
4TU-L2,raw_pixel_fixed_split,rawtrace_pixel_classifiers,Land cover,rbf_svm,time_reverse,1,0.3333333333333333,0.0,0.0,1.0,False,False,stress_test_only,Uses rendered raw-trace pixels under a fixed split.,reports\4tu_counterfactual_rawtrace_pixel_20260810\rawtrace_pixel_reliance_metrics.csv
4TU-L2,raw_pixel_fixed_split,rawtrace_pixel_classifiers,Land cover,rbf_svm,zscore_clip,1,0.3333333333333333,0.0,0.0,0.0,False,False,stress_test_only,Uses rendered raw-trace pixels under a fixed split.,reports\4tu_counterfactual_rawtrace_pixel_20260810\rawtrace_pixel_reliance_metrics.csv
4TU-L2,raw_pixel_fixed_split,rawtrace_pixel_classifiers,Land type,rbf_svm,amplitude_jitter,1,0.3333333333333333,0.0,0.0,0.0,False,False,stress_test_only,Uses rendered raw-trace pixels under a fixed split.,reports\4tu_counterfactual_rawtrace_pixel_20260810\rawtrace_pixel_reliance_metrics.csv
4TU-L2,raw_pixel_fixed_split,rawtrace_pixel_classifiers,Land type,rbf_svm,log_clip,1,0.3333333333333333,0.0,0.0,1.0,False,False,stress_test_only,Uses rendered raw-trace pixels under a fixed split.,reports\4tu_counterfactual_rawtrace_pixel_20260810\rawtrace_pixel_reliance_metrics.csv
4TU-L2,raw_pixel_fixed_split,rawtrace_pixel_classifiers,Land type,rbf_svm,remove_border,1,0.3333333333333333,0.0,0.0,0.08333333333333333,False,False,stress_test_only,Uses rendered raw-trace pixels under a fixed split.,reports\4tu_counterfactual_rawtrace_pixel_20260810\rawtrace_pixel_reliance_metrics.csv
4TU-L2,raw_pixel_fixed_split,rawtrace_pixel_classifiers,Land type,rbf_svm,remove_bottom_band,1,0.3333333333333333,0.0,0.0,0.0,False,False,stress_test_only,Uses rendered raw-trace pixels under a fixed split.,reports\4tu_counterfactual_rawtrace_pixel_20260810\rawtrace_pixel_reliance_metrics.csv
4TU-L2,raw_pixel_fixed_split,rawtrace_pixel_classifiers,Land type,rbf_svm,remove_top_band,1,0.3333333333333333,0.0,0.0,0.041666666666666664,False,False,stress_test_only,Uses rendered raw-trace pixels under a fixed split.,reports\4tu_counterfactual_rawtrace_pixel_20260810\rawtrace_pixel_reliance_metrics.csv
