receipt_id,path,bytes,classification
FMR-001,final_return_evidence_inbox_20260810\01_author_sendout\.gitkeep,0,supporting_artifact_not_counted_as_candidate_evidence
FMR-001,final_return_evidence_inbox_20260810\01_author_sendout\README_RETURN_EVIDENCE.md,786,supporting_artifact_not_counted_as_candidate_evidence
FMR-002,final_return_evidence_inbox_20260810\02_author_replies\.gitkeep,0,supporting_artifact_not_counted_as_candidate_evidence
FMR-002,final_return_evidence_inbox_20260810\02_author_replies\README_RETURN_EVIDENCE.md,778,supporting_artifact_not_counted_as_candidate_evidence
FMR-003,reports\rb001_return_evidence_drop_kit_20260810\rb001_return_evidence_after_drop_commands.csv,817,supporting_artifact_not_counted_as_candidate_evidence
FMR-003,reports\rb001_return_evidence_drop_kit_20260810\rb001_return_evidence_drop_kit_manifest.csv,589,supporting_artifact_not_counted_as_candidate_evidence
FMR-003,reports\rb001_return_evidence_drop_kit_20260810\rb001_return_evidence_drop_kit_qa.csv,285,supporting_artifact_not_counted_as_candidate_evidence
FMR-003,reports\rb001_return_evidence_drop_kit_20260810\RB001_RETURN_EVIDENCE_DROP_KIT_README.md,3689,supporting_artifact_not_counted_as_candidate_evidence
FMR-003,reports\rb001_return_evidence_drop_kit_20260810\rb001_return_evidence_drop_kit_report.md,3689,supporting_artifact_not_counted_as_candidate_evidence
FMR-003,reports\rb001_return_evidence_drop_kit_20260810\rb001_return_evidence_drop_kit_summary.json,546,supporting_artifact_not_counted_as_candidate_evidence
FMR-003,reports\rb001_return_evidence_drop_kit_20260810\rb001_return_evidence_drop_locations.csv,2303,supporting_artifact_not_counted_as_candidate_evidence
FMR-003,reports\rb001_return_evidence_drop_kit_20260810\rb001_return_evidence_hash_manifest_template.csv,1221,supporting_artifact_not_counted_as_candidate_evidence
FMR-004,final_return_evidence_inbox_20260810\03_figure_review\.gitkeep,0,supporting_artifact_not_counted_as_candidate_evidence
FMR-004,final_return_evidence_inbox_20260810\03_figure_review\README_RETURN_EVIDENCE.md,777,supporting_artifact_not_counted_as_candidate_evidence
FMR-005,reports\rights_licence_completion_handoff_20260810\rights_availability_dependency_map.csv,979,supporting_artifact_not_counted_as_candidate_evidence
FMR-005,reports\rights_licence_completion_handoff_20260810\rights_completion_command_queue.csv,1169,supporting_artifact_not_counted_as_candidate_evidence
FMR-005,reports\rights_licence_completion_handoff_20260810\rights_licence_completion_handoff_qa.csv,471,supporting_artifact_not_counted_as_candidate_evidence
FMR-005,reports\rights_licence_completion_handoff_20260810\RIGHTS_LICENCE_COMPLETION_HANDOFF_README.md,351,supporting_artifact_not_counted_as_candidate_evidence
FMR-005,reports\rights_licence_completion_handoff_20260810\rights_licence_completion_handoff_report.md,462,supporting_artifact_not_counted_as_candidate_evidence
FMR-005,reports\rights_licence_completion_handoff_20260810\rights_licence_completion_handoff_summary.json,560,supporting_artifact_not_counted_as_candidate_evidence
FMR-005,reports\rights_licence_completion_handoff_20260810\rights_licence_decision_matrix.csv,1201,supporting_artifact_not_counted_as_candidate_evidence
FMR-005,reports\rights_licence_completion_handoff_20260810\rights_no_go_shortcuts.csv,702,supporting_artifact_not_counted_as_candidate_evidence
FMR-005,reports\rights_licence_completion_handoff_20260810\rights_release_action_queue.csv,1013,supporting_artifact_not_counted_as_candidate_evidence
FMR-006,reports\final_guarded_recheck_execution_audit_20260810\final_guarded_recheck_execution_audit.csv,428,supporting_artifact_not_counted_as_candidate_evidence
FMR-006,reports\final_guarded_recheck_execution_audit_20260810\final_guarded_recheck_execution_audit_qa.csv,307,supporting_artifact_not_counted_as_candidate_evidence
FMR-006,reports\final_guarded_recheck_execution_audit_20260810\FINAL_GUARDED_RECHECK_EXECUTION_AUDIT_README.md,364,supporting_artifact_not_counted_as_candidate_evidence
FMR-006,reports\final_guarded_recheck_execution_audit_20260810\final_guarded_recheck_execution_audit_report.md,354,supporting_artifact_not_counted_as_candidate_evidence
FMR-006,reports\final_guarded_recheck_execution_audit_20260810\final_guarded_recheck_execution_audit_summary.json,590,supporting_artifact_not_counted_as_candidate_evidence
FMR-006,reports\final_guarded_recheck_execution_audit_20260810\final_guarded_recheck_execution_no_go_rules.csv,477,supporting_artifact_not_counted_as_candidate_evidence
FMR-006,reports\final_guarded_recheck_execution_audit_20260810\final_guarded_recheck_run_log_template.csv,445,supporting_artifact_not_counted_as_candidate_evidence
