field_id,decision_area,fill_column,allowed_or_expected_reply,safe_example,required_to_close_gate,blocks_if_blank,validation_command
AFR-001,corresponding_author_identity,author_reply,Free-text author-confirmed value; do not leave blank if required_to_close_gate is nonempty.,Fill with exact author-confirmed information.,FM-001; FM-008,title page; cover letter; portal metadata,py scripts\build_natcomms_author_reply_ingestion_validator.py
AFR-002,author_order_and_affiliations,author_reply,Free-text author-confirmed value; do not leave blank if required_to_close_gate is nonempty.,Fill with exact author-confirmed information.,FM-001,title page; author contributions; final manuscript file,py scripts\build_natcomms_author_reply_ingestion_validator.py
AFR-003,author_contributions,author_reply,Free-text author-confirmed value; do not leave blank if required_to_close_gate is nonempty.,Fill with exact author-confirmed information.,FM-001,author contribution statement; portal metadata,py scripts\build_natcomms_author_reply_ingestion_validator.py
AFR-004,competing_interests,author_reply,A complete competing-interest statement.,The authors declare no competing interests.,FM-001,competing interests statement; portal metadata,py scripts\build_natcomms_author_reply_ingestion_validator.py
AFR-005,funding_acknowledgements,author_reply,Free-text author-confirmed value; do not leave blank if required_to_close_gate is nonempty.,Fill with exact author-confirmed information.,FM-001,Acknowledgements; funding metadata,py scripts\build_natcomms_author_reply_ingestion_validator.py
AFR-006,ethics_consent_governance,author_reply,"Not applicable with reason, or exact ethics/consent/governance details.",Not applicable; this study uses derived benchmark data and no human participant data.,FM-001; FM-005,Reporting Summary; editorial policy metadata,py scripts\build_natcomms_author_reply_ingestion_validator.py
AFR-007,manuscript_branch,author_reply,"Confirm Track B, or provide real held-label external blind asset holder/institution/timeline.",Track B confirmed; no real held-label external blind asset is available now.,FM-002,title; abstract; cover letter; limitation wording,py scripts\build_natcomms_author_reply_ingestion_validator.py
AFR-008,figure_backend,author_reply,Python or R only; also fill FIG-BACKEND-001 current_choice.,Python,FM-003,formal figure rendering; Source Data mapping; Reporting Summary,py scripts\build_natcomms_author_reply_ingestion_validator.py
AFR-009,licence_rights_repository,author_reply,"Explicit licence, rights and repository/DOI route.",Code MIT; derived Source Data CC BY 4.0 after institutional rights review; Zenodo DOI to be created after final figures.,FM-004,Data Availability; Code Availability; repository DOI; portal upload,py scripts\build_natcomms_author_reply_ingestion_validator.py
AFR-010,reviewer_editorial_policy,author_reply,Free-text author-confirmed value; do not leave blank if required_to_close_gate is nonempty.,Fill with exact author-confirmed information.,FM-001; FM-008,cover letter; portal metadata,py scripts\build_natcomms_author_reply_ingestion_validator.py
AFR-011,reporting_summary_confirmation,author_reply,Free-text author-confirmed value; do not leave blank if required_to_close_gate is nonempty.,Fill with exact author-confirmed information.,FM-005,Reporting Summary; submission package,py scripts\build_natcomms_author_reply_ingestion_validator.py
AFR-012,final_submission_author_approval,author_reply,Do not pre-approve before final files; state approval will be given after final review.,"Final approval pending final manuscript, SI, figures, Source Data and declarations review.",FM-007; FM-008,portal upload; actual submission,py scripts\build_natcomms_author_reply_ingestion_validator.py
