split_role,project_id,activity_id,member,package_npy_path,shape_rows,shape_cols,Land type,Land use,Land cover,Utility crossing,Construction workers,Relative groundwater level
train,010,010.1,010/010.1/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\010\010.1\Path1.npy,512,423,Greenery,"High density residental - land-high rise, town and city centre with high population",Grass / vegetation,unknown,None,Below utility range
train,010,010.10,010/010.10/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\010\010.10\Path1.npy,512,226,Greenery,"High density residental - land-high rise, town and city centre with high population",Grass / vegetation,No,None,Below utility range
train,010,010.11,010/010.11/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\010\010.11\Path1.npy,512,568,Sidewalk,"High density residental - land-high rise, town and city centre with high population",Brick road concrete,No,None,Within utility range
train,010,010.12,010/010.12/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\010\010.12\Path1.npy,512,568,Street/Cycling road,"High density residental - land-high rise, town and city centre with high population",Brick road concrete,No,None,Partially within utility range
train,010,010.13,010/010.13/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\010\010.13\Path1.npy,512,132,Sidewalk,Commercial and industrial,Brick road concrete,No,None,Below utility range
train,010,010.14,010/010.14/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\010\010.14\Path1.npy,512,3377,Pedestrian/parking area,Commercial and industrial,Brick road concrete,No,None,Partially within utility range
train,010,010.15,010/010.15/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\010\010.15\Path1.npy,512,14516,Pedestrian/parking area,Commercial and industrial,Brick road concrete,No,None,Partially within utility range
train,010,010.16,010/010.16/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\010\010.16\Path1.npy,512,14516,Pedestrian/parking area,Commercial and industrial,Brick road concrete,No,None,Partially within utility range
train,010,010.17,010/010.17/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\010\010.17\Path1.npy,512,9054,Greenery,Commercial and industrial,Grass / vegetation,No,None,Within utility range
train,010,010.18,010/010.18/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\010\010.18\Path1.npy,512,3768,Street/Cycling road,Commercial and industrial,Asphalt,No,None,Partially within utility range
train,010,010.19,010/010.19/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\010\010.19\Path1.npy,512,1707,Sidewalk,Commercial and industrial,Brick road concrete,No,None,Within utility range
train,010,010.2,010/010.2/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\010\010.2\Path1.npy,512,227,Greenery,"High density residental - land-high rise, town and city centre with high population",Grass / vegetation,unknown,None,Below utility range
train,010,010.20,010/010.20/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\010\010.20\Path1.npy,512,220,Sidewalk,Commercial and industrial,Brick road concrete,No,None,Below utility range
train,010,010.21,010/010.21/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\010\010.21\Path1.npy,512,91,Greenery,Commercial and industrial,Grass / vegetation,Yes,None,Below utility range
train,010,010.22,010/010.22/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\010\010.22\Path1.npy,512,389,Greenery,Commercial and industrial,Grass / vegetation,No,None,Below utility range
train,010,010.23,010/010.23/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\010\010.23\Path1.npy,512,435,Greenery,Commercial and industrial,Grass / vegetation,No,None,Below utility range
train,010,010.24,010/010.24/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\010\010.24\Path1.npy,512,2825,Greenery,Commercial and industrial,Grass / vegetation,Yes,None,Below utility range
train,010,010.3,010/010.3/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\010\010.3\Path1.npy,512,231,Greenery,"High density residental - land-high rise, town and city centre with high population",Grass / vegetation,unknown,None,Below utility range
train,010,010.4,010/010.4/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\010\010.4\Path1.npy,512,5085,Sidewalk,"High density residental - land-high rise, town and city centre with high population",Brick road concrete,No,None,Within utility range
train,010,010.5,010/010.5/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\010\010.5\Path1.npy,512,443,Sidewalk,"High density residental - land-high rise, town and city centre with high population",Brick road concrete,No,None,Below utility range
train,010,010.6,010/010.6/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\010\010.6\Path1.npy,512,4026,Greenery,"High density residental - land-high rise, town and city centre with high population",Grass / vegetation,unknown,None,Below utility range
train,010,010.7,010/010.7/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\010\010.7\Path1.npy,512,1797,Greenery,"High density residental - land-high rise, town and city centre with high population",Grass / vegetation,No,None,Below utility range
train,010,010.8,010/010.8/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\010\010.8\Path1.npy,512,194,Street/Cycling road,"High density residental - land-high rise, town and city centre with high population",Asphalt,unknown,None,Below utility range
train,010,010.9,010/010.9/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\010\010.9\Path1.npy,512,201,Street/Cycling road,"High density residental - land-high rise, town and city centre with high population",Asphalt,unknown,None,Below utility range
train,011,011.1,011/011.1/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\011\011.1\Path1.npy,512,1120,Sidewalk,"High density residental - land-high rise, town and city centre with high population",Concrete surfacing,No,New installation of utilities,Partially within utility range
train,011,011.10,011/011.10/Radargrams/Profile_6395.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\011\011.10\Profile_6395.npy,512,600,Pedestrian/parking area,"High density residental - land-high rise, town and city centre with high population",Brick road concrete,No,New installation of utilities,Below utility range
train,011,011.11,011/011.11/Radargrams/Profile_6131.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\011\011.11\Profile_6131.npy,512,498,Sidewalk,"High density residental - land-high rise, town and city centre with high population",Concrete surfacing,No,New installation of utilities,Partially within utility range
train,011,011.12,011/011.12/Radargrams/Profile_6139.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\011\011.12\Profile_6139.npy,512,1212,Sidewalk,"High density residental - land-high rise, town and city centre with high population",Concrete surfacing,No,New installation of utilities,Partially within utility range
train,011,011.13,011/011.13/Radargrams/Profile_6138.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\011\011.13\Profile_6138.npy,512,6680,Street/Cycling road,"High density residental - land-high rise, town and city centre with high population",Brick road concrete,No,New installation of utilities,Partially within utility range
train,011,011.14,011/011.14/Radargrams/Profile_6161.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\011\011.14\Profile_6161.npy,512,643,Sidewalk,"High density residental - land-high rise, town and city centre with high population",Concrete surfacing,No,New installation of utilities,Below utility range
train,011,011.15,011/011.15/Radargrams/Profile_6386.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\011\011.15\Profile_6386.npy,512,6866,Sidewalk,"High density residental - land-high rise, town and city centre with high population",Concrete surfacing,No,New installation of utilities,Below utility range
train,011,011.16,011/011.16/Radargrams/Profile_6447.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\011\011.16\Profile_6447.npy,512,270,Sidewalk,"High density residental - land-high rise, town and city centre with high population",Concrete surfacing,No,New installation of utilities,Below utility range
train,011,011.17,011/011.17/Radargrams/Profile_6409.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\011\011.17\Profile_6409.npy,512,742,Sidewalk,"High density residental - land-high rise, town and city centre with high population",Concrete surfacing,Yes,New installation of utilities,Below utility range
train,011,011.2,011/011.2/Radargrams/Profile_6063.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\011\011.2\Profile_6063.npy,512,529,Sidewalk,"High density residental - land-high rise, town and city centre with high population",Concrete surfacing,No,New installation of utilities,Partially within utility range
train,011,011.3,011/011.3/Radargrams/Profile_6026.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\011\011.3\Profile_6026.npy,512,560,Sidewalk,"High density residental - land-high rise, town and city centre with high population",Concrete surfacing,No,New installation of utilities,Partially within utility range
train,011,011.4,011/011.4/Radargrams/Profile_6625.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\011\011.4\Profile_6625.npy,512,1761,Sidewalk,"High density residental - land-high rise, town and city centre with high population",Concrete surfacing,No,New installation of utilities,Below utility range
train,011,011.5,011/011.5/Radargrams/Profile_6050.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\011\011.5\Profile_6050.npy,512,2424,Street/Cycling road,"High density residental - land-high rise, town and city centre with high population",Brick road concrete,No,New installation of utilities,Below utility range
train,011,011.6,011/011.6/Radargrams/Profile_6040.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\011\011.6\Profile_6040.npy,512,1022,Street/Cycling road,"High density residental - land-high rise, town and city centre with high population",Brick road concrete,No,New installation of utilities,Below utility range
train,011,011.7,011/011.7/Radargrams/Profile_6037.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\011\011.7\Profile_6037.npy,512,7427,Sidewalk,"High density residental - land-high rise, town and city centre with high population",Concrete surfacing,Yes,New installation of utilities,Below utility range
train,011,011.8,011/011.8/Radargrams/Profile_6611.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\011\011.8\Profile_6611.npy,512,2464,Sidewalk,"High density residental - land-high rise, town and city centre with high population",Concrete surfacing,No,New installation of utilities,Below utility range
train,011,011.9,011/011.9/Radargrams/Profile_6612.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\train\011\011.9\Profile_6612.npy,512,362,Sidewalk,"High density residental - land-high rise, town and city centre with high population",Concrete surfacing,No,New installation of utilities,Partially within utility range
val,02,02.1,02/02.1/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\val\02\02.1\Path1.npy,512,265,Sidewalk,"High density residental - land-high rise, town and city centre with high population",Concrete surfacing,No,New installation of utilities,Below utility range
val,02,02.2,02/02.2/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\val\02\02.2\Path1.npy,512,273,Sidewalk,"High density residental - land-high rise, town and city centre with high population",Concrete surfacing,No,New installation of utilities,Below utility range
val,02,02.3,02/02.3/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\val\02\02.3\Path1.npy,512,560,Greenery,"High density residental - land-high rise, town and city centre with high population",Grass / vegetation,No,New installation of utilities,Below utility range
val,02,02.4,02/02.4/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\val\02\02.4\Path1.npy,512,273,Greenery,"High density residental - land-high rise, town and city centre with high population",Grass / vegetation,No,New installation of utilities,Below utility range
val,02,02.5,02/02.5/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\val\02\02.5\Path1.npy,512,206,Street/Cycling road,"High density residental - land-high rise, town and city centre with high population",Brick road concrete,No,New installation of utilities,Below utility range
val,02,02.6,02/02.6/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\val\02\02.6\Path1.npy,512,182,Street/Cycling road,"High density residental - land-high rise, town and city centre with high population",Brick road concrete,No,New installation of utilities,Below utility range
val,02,02.7,02/02.7/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\val\02\02.7\Path1.npy,512,416,Greenery,"High density residental - land-high rise, town and city centre with high population",Grass / vegetation,No,New installation of utilities,Below utility range
test,04,04.1,04/04.1/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\test\04\04.1\Path1.npy,512,151,Sidewalk,Residential - quiet suburbia,Concrete surfacing,No,New installation of utilities,Below utility range
test,04,04.2,04/04.2/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\test\04\04.2\Path1.npy,512,154,Sidewalk,Residential - quiet suburbia,Concrete surfacing,No,New installation of utilities,Below utility range
test,04,04.3,04/04.3/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\test\04\04.3\Path1.npy,512,173,Sidewalk,Residential - quiet suburbia,Concrete surfacing,No,New installation of utilities,Below utility range
test,04,04.4,04/04.4/Radargrams/Path1.sgy,<LOCAL_DATA_ROOT>\reports\4tu_split_packages_20260810\p4_graph_opt_v2\test\04\04.4\Path1.npy,512,155,Sidewalk,Residential - quiet suburbia,Concrete surfacing,No,New installation of utilities,Below utility range
