file,marker_type,line,matched_text,context_snippet,finalization_rule
reports/manuscript_assembly_skeleton_20260810/manuscript_assembly_skeleton.md,planned_or_pending_figure_marker,27,source_ready_not_rendered,source_ready_not_rendered | figure/table source packages and source_data_deposit_package | Actual figure,Allowed in draft; must be resolved or explicitly bounded before final/uploadable status.
reports/manuscript_assembly_skeleton_20260810/manuscript_assembly_skeleton.md,skeleton_or_draft_marker,1,Skeleton,"Skeleton 2026-08-10 ## One-sentence argument In ground-penetrating radar recognition,",Allowed in draft; must be resolved or explicitly bounded before final/uploadable status.
reports/manuscript_assembly_skeleton_20260810/manuscript_assembly_skeleton.md,skeleton_or_draft_marker,19,draft,draft must not imply completed blind external validation. | | Introduction | outline_,Allowed in draft; must be resolved or explicitly bounded before final/uploadable status.
reports/manuscript_assembly_skeleton_20260810/manuscript_assembly_skeleton.md,skeleton_or_draft_marker,65,skeleton,"skeleton, not a finished manuscript. It does not close the external validation gate, doe",Allowed in draft; must be resolved or explicitly bounded before final/uploadable status.
reports/manuscript_assembly_skeleton_20260810/manuscript_assembly_skeleton.md,open_gate_marker,23,NO-GO,"NO-GO, 4TU group weakening and third-party rights. | | Data Availability | blocked |",Allowed in draft; must be resolved or explicitly bounded before final/uploadable status.
reports/manuscript_assembly_skeleton_20260810/manuscript_assembly_skeleton.md,open_gate_marker,24,blocked,blocked | companion_artifacts_skeleton/data_availability_skeleton.md | Cannot be ready-,Allowed in draft; must be resolved or explicitly bounded before final/uploadable status.
reports/manuscript_assembly_skeleton_20260810/manuscript_assembly_skeleton.md,open_gate_marker,25,blocked,blocked | companion_artifacts_skeleton/code_availability_skeleton.md | Cannot be comple,Allowed in draft; must be resolved or explicitly bounded before final/uploadable status.
reports/manuscript_assembly_skeleton_20260810/manuscript_assembly_skeleton.md,open_gate_marker,26,blocked,blocked | companion_artifacts_skeleton/reporting_summary_checklist.csv | Checklist rows,Allowed in draft; must be resolved or explicitly bounded before final/uploadable status.
reports/manuscript_assembly_skeleton_20260810/manuscript_assembly_skeleton.md,open_gate_marker,26,incomplete,incomplete. | | Figures and Source Data | source_ready_not_rendered | figure/table source,Allowed in draft; must be resolved or explicitly bounded before final/uploadable status.
reports/manuscript_assembly_skeleton_20260810/manuscript_assembly_skeleton.md,open_gate_marker,48,open gate,open gate until a real unused asset is evaluated under the locked protocol. ## Blocking,Allowed in draft; must be resolved or explicitly bounded before final/uploadable status.
reports/manuscript_assembly_skeleton_20260810/manuscript_assembly_skeleton.md,open_gate_marker,54,NO-GO,"NO-GO | Acquire an unused external GPR asset, strict-SHA validate intake, freeze pred",Allowed in draft; must be resolved or explicitly bounded before final/uploadable status.
reports/manuscript_assembly_skeleton_20260810/manuscript_assembly_skeleton.md,open_gate_marker,56,missing,missing | Create a public or controlled-access repository record and replace placeholde,Allowed in draft; must be resolved or explicitly bounded before final/uploadable status.
reports/manuscript_assembly_skeleton_20260810/manuscript_assembly_skeleton.md,open_gate_marker,57,missing,"missing | Prepare repository, release tag, licence file and archival DOI. | | Reporting",Allowed in draft; must be resolved or explicitly bounded before final/uploadable status.
reports/manuscript_assembly_skeleton_20260810/manuscript_assembly_skeleton.md,open_gate_marker,59,not cleared,not cleared | Verify redistribution rights for reused public/third-party data and keep raw,Allowed in draft; must be resolved or explicitly bounded before final/uploadable status.
reports/manuscript_assembly_skeleton_20260810/manuscript_assembly_skeleton.md,open_gate_marker,60,NO-GO,NO-GO | Restore SAM ViT-L checkpoint and compatible runtime before claiming full meth,Allowed in draft; must be resolved or explicitly bounded before final/uploadable status.
