worksheet_id,evidence_type,target_file,field_to_fill,field_present,allowed_values_or_format,do_not_edit,after_fill_validation
MEW-001,real_author_sendout,reports/natcomms_author_response_tracker_20260810/author_response_send_log_template.csv,send_status,True,send_status=sent; sent_datetime_local=YYYY-MM-DD HH:MM; sender=real sender name/account,recipient; bundle_zip; bundle_zip_sha256; required_manual_action,py scripts\build_natcomms_author_response_log_validator.py
MEW-001,real_author_sendout,reports/natcomms_author_response_tracker_20260810/author_response_send_log_template.csv,sent_datetime_local,True,send_status=sent; sent_datetime_local=YYYY-MM-DD HH:MM; sender=real sender name/account,recipient; bundle_zip; bundle_zip_sha256; required_manual_action,py scripts\build_natcomms_author_response_log_validator.py
MEW-001,real_author_sendout,reports/natcomms_author_response_tracker_20260810/author_response_send_log_template.csv,sender,True,send_status=sent; sent_datetime_local=YYYY-MM-DD HH:MM; sender=real sender name/account,recipient; bundle_zip; bundle_zip_sha256; required_manual_action,py scripts\build_natcomms_author_response_log_validator.py
MEW-002,returned_author_reply_files,reports/natcomms_author_response_tracker_20260810/author_response_return_tracker.csv,return_status,True,return_status=returned; returned_file_path=existing returned file; returned_datetime_local=YYYY-MM-DD HH:MM,attachment_id; recipient; bundle_file; expected_reply_field; gate_effect,py scripts\build_natcomms_author_reply_ingestion_validator.py
MEW-002,returned_author_reply_files,reports/natcomms_author_response_tracker_20260810/author_response_return_tracker.csv,returned_file_path,True,return_status=returned; returned_file_path=existing returned file; returned_datetime_local=YYYY-MM-DD HH:MM,attachment_id; recipient; bundle_file; expected_reply_field; gate_effect,py scripts\build_natcomms_author_reply_ingestion_validator.py
MEW-002,returned_author_reply_files,reports/natcomms_author_response_tracker_20260810/author_response_return_tracker.csv,returned_datetime_local,True,return_status=returned; returned_file_path=existing returned file; returned_datetime_local=YYYY-MM-DD HH:MM,attachment_id; recipient; bundle_file; expected_reply_field; gate_effect,py scripts\build_natcomms_author_reply_ingestion_validator.py
MEW-003,backend_and_scope_choice,reports/natcomms_author_finalization_reply_packet_20260810/figure_backend_decision_ticket.csv,current_choice,True,Python or R; Figure 1-Figure 6 or reduced display set with SI relocation,recommended_choice; allowed_choices; evidence_or_reason; after_choice_action,py scripts\build_figure_backend_decision_validator.py
MEW-004,external_blind_asset_payload,external_blind/<dated_asset_folder> plus data_manifests/external_blind_manifest_<asset>_YYYYMMDD.csv,unlabeled payload files,external_payload,No labels or label hints before prediction freeze; strict SHA manifest required,do not place label files in analyst-visible folder before prediction freeze,py scripts\validate_external_blind_intake.py --strict-sha
MEW-004,external_blind_asset_payload,external_blind/<dated_asset_folder> plus data_manifests/external_blind_manifest_<asset>_YYYYMMDD.csv,manifest rows,external_payload,No labels or label hints before prediction freeze; strict SHA manifest required,do not place label files in analyst-visible folder before prediction freeze,py scripts\validate_external_blind_intake.py --strict-sha
MEW-004,external_blind_asset_payload,external_blind/<dated_asset_folder> plus data_manifests/external_blind_manifest_<asset>_YYYYMMDD.csv,sealed label holder information outside analyst workflow,external_payload,No labels or label hints before prediction freeze; strict SHA manifest required,do not place label files in analyst-visible folder before prediction freeze,py scripts\validate_external_blind_intake.py --strict-sha
MEW-005,rights_licence_decisions,reports/rights_licence_completion_handoff_20260810/rights_licence_decision_matrix.csv or upstream author/rights reply sheet,current_decision plus documented evidence in returned rights file,False,explicit licence or explicit exclusion/permission decision; raw third-party data excluded unless written permission,required_evidence_to_close; release_consequence_if_open,py scripts\build_rights_licence_completion_handoff.py
MEW-006,reporting_summary_author_replies,reports/natcomms_author_finalization_reply_packet_20260810/reporting_summary_author_reply_sheet.csv,author_reply,True,specific confirmation text; no placeholder such as yes/ok without context,blocks_if_blank,py scripts\build_reporting_summary_completion_handoff.py
MEW-007,reference_replacement_authorized,reports/reference_completion_handoff_20260810/citation_marker_final_replacement_queue.csv after final prose is stable,replacement_allowed_now,True,"replacement_allowed_now=true only after final prose, figure/table calls and reference order are stable",marker; candidate_ids; replacement_blocker; minimum_replacement_evidence,py scripts\build_reference_completion_handoff.py
MEW-007,reference_replacement_authorized,reports/reference_completion_handoff_20260810/citation_marker_final_replacement_queue.csv after final prose is stable,current_decision,True,"replacement_allowed_now=true only after final prose, figure/table calls and reference order are stable",marker; candidate_ids; replacement_blocker; minimum_replacement_evidence,py scripts\build_reference_completion_handoff.py
