file,exists,marker_count,pattern_types,final_status_allowed,reason
reports/manuscript_assembly_skeleton_20260810/manuscript_assembly_skeleton.md,True,26,planned_or_pending_figure_marker; skeleton_or_draft_marker; open_gate_marker; repository_placeholder_marker,no,Draft/skeleton markers remain or submission dashboard is not ready.
reports/submission_package_skeleton_20260810/title_abstract_significance.md,True,17,planned_or_pending_figure_marker; skeleton_or_draft_marker; open_gate_marker; repository_placeholder_marker,no,Draft/skeleton markers remain or submission dashboard is not ready.
reports/submission_package_skeleton_20260810/cover_letter_skeleton.md,True,3,skeleton_or_draft_marker; open_gate_marker,no,Draft/skeleton markers remain or submission dashboard is not ready.
reports/results_section_skeleton_20260810/results_section_skeleton.md,True,9,skeleton_or_draft_marker; open_gate_marker,no,Draft/skeleton markers remain or submission dashboard is not ready.
reports/methods_section_skeleton_20260810/methods_section_skeleton.md,True,7,skeleton_or_draft_marker; open_gate_marker,no,Draft/skeleton markers remain or submission dashboard is not ready.
reports/narrative_cited_drafts_20260810/narrative_section_drafts_v1_cited.md,True,20,candidate_reference_marker; planned_or_pending_figure_marker; skeleton_or_draft_marker; open_gate_marker; repository_placeholder_marker,no,Draft/skeleton markers remain or submission dashboard is not ready.
reports/figure_table_anchor_lock_20260810/narrative_section_drafts_v1_anchored.md,True,23,candidate_reference_marker; planned_or_pending_figure_marker; skeleton_or_draft_marker; open_gate_marker; repository_placeholder_marker,no,Draft/skeleton markers remain or submission dashboard is not ready.
reports/companion_artifacts_skeleton_20260810/data_availability_skeleton.md,True,11,planned_or_pending_figure_marker; skeleton_or_draft_marker; open_gate_marker; repository_placeholder_marker,no,Draft/skeleton markers remain or submission dashboard is not ready.
reports/companion_artifacts_skeleton_20260810/code_availability_skeleton.md,True,8,skeleton_or_draft_marker; open_gate_marker; repository_placeholder_marker,no,Draft/skeleton markers remain or submission dashboard is not ready.
reports/companion_artifacts_skeleton_20260810/reporting_summary_checklist.md,True,14,skeleton_or_draft_marker; open_gate_marker; repository_placeholder_marker,no,Draft/skeleton markers remain or submission dashboard is not ready.
reports/manuscript_table_drafts_20260810/manuscript_table_drafts.md,True,9,planned_or_pending_figure_marker; skeleton_or_draft_marker; open_gate_marker; repository_placeholder_marker,no,Draft/skeleton markers remain or submission dashboard is not ready.
